,OBJECTID,CFID,CF_GROUP,CF_CATEGORY,CF_SUBCATEGORY,CF_NAMEAR,CF_NAMEENG,CF_LONG,CF_LAT,REGIONNAMEAR,REGIONNAMEENG,DISTRICTNAMEAR,DISTRICTNAMEENG,CMNTYNAMEAR,CMNTYNAMEENG,CF_PHONE,CF_EMAIL,CF_FAX,CF_POBOX,LGRPNAME,LGRPINDEX,LAYERNAME,LAYERINDEX,longitude,latitude
28,38997,DED-367,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم النافورة,ALNAFOORA RESTAURANT,53.70186615,23.65895844,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,غرب 2,Mzw2,8847400,,8844309,50436,Eating and Drinking,30,Restaurant,32,53.70186615,23.658958439999992
29,38998,DED-368,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم تراث الغربية,WESTERN HERITAGE RESTAURANT,53.70451355,23.65337944,المنطقة الغربية,Western Region,مدينة زايد,Madinat Zayed,غرب 2,Mzw2,28846050,,,50057,Eating and Drinking,30,Restaurant,32,53.70451355,23.65337943999998
30,39001,DED-373,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم ومشاوي ملك اللولو,LULU KING RESTAURANT & GRILLS,53.47627724,24.08067079,المنطقة الغربية,Western Region,المرفأ,Al Marfa,المرفأ 5,Mr5,,,,,Eating and Drinking,30,Restaurant,32,53.47627724,24.08067079
31,40265,DED-4424,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم رمز الوحدة,RAMZ AL WAHDA RESTURANT,55.33043289,24.45984364,العين,Al Ain,سويحان,SWEIHAN,نهشيلة,Nahshilah,7347437,,,10019,Eating and Drinking,30,Restaurant,32,55.33043289,24.459843639999974
32,40266,DED-4425,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الراشدي,AL RASHEDI RESTAURANT,55.33028793,24.46006966,العين,Al Ain,سويحان,SWEIHAN,نهشيلة,Nahshilah,7347367,,,10202,Eating and Drinking,30,Restaurant,32,55.33028793,24.460069659999988
33,40267,DED-4426,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الهبوب,AL HABOB  RESTAURANT,55.41417122,24.3219223,العين,Al Ain,سويحان,SWEIHAN,بدع السمح,Bida Al Samah,7815904,habob@abudhabi.net.ae,,69291,Eating and Drinking,30,Restaurant,32,55.414171220000014,24.321922299999983
34,40271,DED-4431,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الاخوان,BROTHERS RESTAURANT,55.46219826,24.22772026,العين,Al Ain,الساد,AL SAAD,رملة الساد,Ramlat Al Saad,7815216,,,17182,Eating and Drinking,30,Restaurant,32,55.46219825999998,24.227720260000012
35,40273,DED-4433,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الاكلات الشعبية,POPULAR MEALS RESTAURANT,55.3349781,24.18466377,العين,Al Ain,رماح,REMAH,الخورة 1,Al Khowrah 1,7372228,,,14775,Eating and Drinking,30,Restaurant,32,55.3349781,24.184663769999986
36,40274,DED-4434,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم بشارة,BESHARA RESTAURANT,55.33918762,24.18532372,العين,Al Ain,رماح,REMAH,الخورة 1,Al Khowrah 1,7372256,,,80244,Eating and Drinking,30,Restaurant,32,55.33918762000002,24.185323719999985
37,40275,DED-4435,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم قمر رماح - ذ.م.م.,REMAH MOON RESTURANT - L.L.C.,55.33405685,24.18594742,العين,Al Ain,رماح,REMAH,الخورة 1,Al Khowrah 1,7372731,,,18327,Eating and Drinking,30,Restaurant,32,55.334056850000024,24.18594741999999
38,40276,DED-4436,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم اضواء الحرمين,AL HARAMIN LIGHT RESTAURANT,55.04514694,24.17963505,العين,Al Ain,الخزنة,AL KHAZNAH,الخزنة 1,Al Khaznah 1,,,,67310,Eating and Drinking,30,Restaurant,32,55.045146939999995,24.17963505
39,40277,DED-4438,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم السنديان,AL SENDIAN RESTAURANT,55.75805283,24.22146606,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي القصر,Hai Al Qasr,7545415,,,65301,Eating and Drinking,30,Restaurant,32,55.75805283,24.22146606000001
40,40278,DED-4788,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم كوخ الدجاج,CHICKEN HUT RESTAURANT,55.74581909,24.21784878,العين,Al Ain,الجاهلي,AL JAHILI,المساقي,Al Masagi,7559010,AIN69662@abudhabi.net.ae,7555496,23185,Eating and Drinking,30,Restaurant,32,55.74581909,24.217848779999997
41,40280,DED-4790,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم محمد علي,MOHAMMAD ALI RESTAURANT,55.7562561,24.212882999999998,العين,Al Ain,الجاهلي,AL JAHILI,المرايغ,Al Marayegh,7553522,,,90725,Eating and Drinking,30,Restaurant,32,55.75625609999997,24.212882999999977
42,40281,DED-4791,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم و كافتيريا ناصر عيسى,NASSER EISA RESTURANT & CAFTERIA,55.75522232,24.20703888,العين,Al Ain,المطاوعة,AL MUTAWA'A,حي المطاوعة,Hai Al Mutawaa,7224190,_,,86410,Eating and Drinking,30,Restaurant,32,55.75522231999997,24.207038880000027
43,40282,DED-4792,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم وكوفي شوب باغيت ذ.م.م,BAGUETTE RESTAURANT & COFFEE SHOP L.L.C.,55.76091385,24.30440521,العين,Al Ain,هيلي,HILI,النايفة1,Al Nayfa 1,6276442,,6276441,273963,Eating and Drinking,30,Restaurant,32,55.76091385000001,24.304405210000027
44,40285,DED-4795,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم سفارى,SAFARI RESTAURANT,55.77888489,24.21349335,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,النيادات,Al Nyadat,7662897,,,15372,Eating and Drinking,30,Restaurant,32,55.77888488999997,24.21349335000002
45,40288,DED-4798,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الفيحاء الحديث,AL FAYHA' MODERN RESTAURANT,55.77661896,24.21604347,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي الحصن,Hai Al Hisn,7662410,,,15870,Eating and Drinking,30,Restaurant,32,55.77661896000001,24.21604346999999
46,40289,DED-4799,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم دانه ( توصية بسيطة),DANAH  RESTAURANT,55.7756958,24.21744537,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي الحصن,Hai Al Hisn,7654829,,,17189,Eating and Drinking,30,Restaurant,32,55.775695799999994,24.217445370000007
47,40303,DED-4031,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم عبير البحر,ABEER AL BAHR RESTURANT,54.64899063,24.60364819,أبوظبي,Abu Dhabi,الصدر,Al Sader,الصدر أ,Al Sader A,5639255,jalaa82@yahoo.com,,110821,Eating and Drinking,30,Restaurant,32,54.648990630000014,24.60364819
48,40307,DED-4035,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم المقام ذ م م,AL MAQAM RESTAURANT L L C,54.49695778,24.35173416,أبوظبي,Abu Dhabi,مصفح,Musaffah,مصفح  37,M37,5513143,,,130661,Eating and Drinking,30,Restaurant,32,54.49695778,24.351734159999978
49,40308,DED-4036,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم طباخ العرب,ARAB COOK RESTAURANT,54.49401093,24.35406876,أبوظبي,Abu Dhabi,مصفح,Musaffah,مصفح  37,M37,,,,91652,Eating and Drinking,30,Restaurant,32,54.49401093,24.35406876000002
50,40309,DED-4037,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم ركن المقام,AL MAQAM CORNER  RESTAURANT,54.49981499,24.34877205,أبوظبي,Abu Dhabi,مصفح,Musaffah,مصفح  37,M37,5520234,,,129856,Eating and Drinking,30,Restaurant,32,54.499814990000004,24.34877204999998
51,40310,DED-4043,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم فرسان الامارات,FURSAN AL EMARAT RESTAURANT,54.50619316,24.40724564,أبوظبي,Abu Dhabi,منطقة المقطع,Al Maqta Area,مقطع 8,MQ8,5588141,FURSAN @abudhabi.ae,,71496,Eating and Drinking,30,Restaurant,32,54.50619316000001,24.407245639999985
52,40318,DED-4448,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم عالم الطعام - فرع العين,FOOD WORLD RESTAURANT - ALAIN BRANCH,55.76436615,24.22148228,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,الربينة,Al Rubainah,7640330,,7640334,87297,Eating and Drinking,30,Restaurant,32,55.76436615,24.221482279999975
53,40320,DED-4468,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الاجواء - فرع,AL AJWA RESTAURANT - BRANCH,55.5933342,24.20431519,العين,Al Ain,السلامات,AL SALAMAT,السلامات 1,Al Salamat 1,7347090,,,10089,Eating and Drinking,30,Restaurant,32,55.593334200000015,24.20431518999999
54,40321,DED-4469,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم نور الايام,NOOR AL AYAM RESTAURANT,55.58607101,24.21179199,العين,Al Ain,السلامات,AL SALAMAT,السلامات 1,Al Salamat 1,7834450,,,68470,Eating and Drinking,30,Restaurant,32,55.58607101000001,24.211791989999995
55,40322,DED-4472,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم نادر,NADER RESTAURANT,55.75102615,24.56065559,العين,Al Ain,الهير,AL HAYER,غمض,Ghummad,7322627,,,21267,Eating and Drinking,30,Restaurant,32,55.75102614999997,24.56065559000001
56,40323,DED-4473,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم فاز هانجاتيل,VAZHANGATTIL RESTAURANT,55.74435806,24.57544518,العين,Al Ain,الهير,AL HAYER,غمض,Ghummad,37321614,,,21492,Eating and Drinking,30,Restaurant,32,55.744358060000025,24.575445179999974
57,40328,DED-4800,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم التعاون - فرع,AL TAAWON RESTAURANT - BRANCH,55.77504349,24.2184515,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي الحصن,Hai Al Hisn,7664252,,,1791,Eating and Drinking,30,Restaurant,32,55.77504348999997,24.218451500000015
58,40329,DED-4801,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم العائلات,AL AAILAT RESTAURANT,55.77555084,24.21767426,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي الحصن,Hai Al Hisn,37656509,,,24870,Eating and Drinking,30,Restaurant,32,55.775550839999994,24.217674260000024
59,40330,DED-4802,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم ابوحلب,ABU HALAB RESTAURANT,55.7768898,24.2156105,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي الحصن,Hai Al Hisn,7644413,,7664947,15129,Eating and Drinking,30,Restaurant,32,55.77688979999999,24.215610500000025
60,40331,DED-4803,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم ابوحلب - فرع,ABU HALAB RESTAURANT - BRANCH,55.77701187,24.21539402,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي الحصن,Hai Al Hisn,,,,,Eating and Drinking,30,Restaurant,32,55.777011870000024,24.21539402000002
61,40332,DED-4804,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم أبومنصور الجابري,ABU MANSOUR CAFETERIA,55.77639389,24.21638203,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي الحصن,Hai Al Hisn,7645881,,,83415,Eating and Drinking,30,Restaurant,32,55.77639389000001,24.216382029999977
62,40334,DED-4807,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الفروج الطازج - فرع المناصير,AL FARROUJ AL TAZAJ RESTAURANT - BRANCH ALMNASIR,55.71986198,24.20722008,العين,Al Ain,المويجعي,AL MUWAIJI,الرويكة,Al Ruwaikah,,,,20937,Eating and Drinking,30,Restaurant,32,55.71986198000002,24.207220080000013
63,40340,DED-4813,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم انور,ANWAR RESTAURANT,55.76593399,24.28646278,العين,Al Ain,هيلي,HILI,الرميلة,Al Rumailah,7845811,,,1676,Eating and Drinking,30,Restaurant,32,55.76593399000001,24.286462780000022
64,40356,DED-4051,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم القبائل,AL QABAIL RESTAURANT,54.63995135,24.29576285,أبوظبي,Abu Dhabi,بنى ياس,Baniyas,بني ياس شرق 8,EB8,5832959,,5834458,10733,Eating and Drinking,30,Restaurant,32,54.63995134999999,24.295762850000017
65,40360,DED-4055,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم السمكة الفضية,SILVER FISH RESTAURANT,54.63727188,24.297842029999998,أبوظبي,Abu Dhabi,بنى ياس,Baniyas,بني ياس شرق 8,EB8,5835840,SILVERFISH@abudhabi.net.ae,0,57138,Eating and Drinking,30,Restaurant,32,54.637271880000014,24.297842030000027
66,40361,DED-4056,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم استراحه الامارات - ذ م م,EMIRATES RESIDENCE RESTAURANT -  L L C,54.63315954,24.29345524,أبوظبي,Abu Dhabi,بنى ياس,Baniyas,بني ياس شرق 8,EB8,5823501,,,10866,Eating and Drinking,30,Restaurant,32,54.63315954000001,24.293455240000014
67,40362,DED-4057,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم وكافتيريا زهرة الامارات,EMIRATES FLOWER CAFETERIA,54.63716316,24.29550362,أبوظبي,Abu Dhabi,بنى ياس,Baniyas,بني ياس شرق 8,EB8,5833214,,,10837,Eating and Drinking,30,Restaurant,32,54.63716316,24.295503619999977
68,40363,DED-4058,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الارض الحارة,HOT LAND RESTAURANT,54.63680797,24.29578276,أبوظبي,Abu Dhabi,بنى ياس,Baniyas,بني ياس شرق 8,EB8,,,,,Eating and Drinking,30,Restaurant,32,54.63680797000001,24.29578276000001
69,40367,DED-4479,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم وكافتيريا سلفر ساندس,SILVER SANDS RESTAURANT & CAFETERIA,55.76229095,24.22445011,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي قصيدة,Hai Qesaidah,37668584,,,83462,Eating and Drinking,30,Restaurant,32,55.76229095000002,24.22445011000002
70,40368,DED-4480,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم وكافتيريا البشرى,ALBUSHRA RESTAURANT & CAFETERIA,55.76068687,24.22154427,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي قصيدة,Hai Qesaidah,37642051,evjaleel@yahoo.com,,1437,Eating and Drinking,30,Restaurant,32,55.76068686999997,24.22154426999998
71,40369,DED-4481,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم جبل الورد,JABAL AL WARD RESTAURANT,55.76412582,24.22303486,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي قصيدة,Hai Qesaidah,7641308,,,23951,Eating and Drinking,30,Restaurant,32,55.764125820000004,24.223034859999984
72,40370,DED-4482,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم وكافتيريا الملاح - فرع,AL MALLAH CAFETERIA & RESTAURANT - BRANCH,55.76400375,24.22504234,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي قصيدة,Hai Qesaidah,,,,80672,Eating and Drinking,30,Restaurant,32,55.76400374999997,24.225042340000016
73,40371,DED-4483,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم وكافيتريا الفوار,AL FAWAR CAFETERIA AND RESTAURANT,55.76232529,24.22486115,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي قصيدة,Hai Qesaidah,7664600,,,16000,Eating and Drinking,30,Restaurant,32,55.76232528999998,24.22486114999998
74,40372,DED-4484,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم وكافيتيريا كوئتة الجديد,NEW KUTA RESTAURANT NAD CAFETERIA,55.76042175,24.22149277,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي قصيدة,Hai Qesaidah,7663304,,,18177,Eating and Drinking,30,Restaurant,32,55.76042174999998,24.221492769999998
75,40373,DED-4485,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الفروج الطازج  ذ م م - فرع العين,FRESH CHICKEN FRESH CHICKEN RESTAURANT LLC - ALAIN BRANCH LLC -,55.76066589,24.22467232,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي قصيدة,Hai Qesaidah,7519997,,7555646,20937,Eating and Drinking,30,Restaurant,32,55.760665889999984,24.224672320000025
76,40378,DED-4814,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم نصيب,NASEEB RESTAURANT,55.76593399,24.28646278,العين,Al Ain,هيلي,HILI,الرميلة,Al Rumailah,37845612,,,81752,Eating and Drinking,30,Restaurant,32,55.76593399000001,24.286462780000022
77,40379,DED-4815,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الفيصل,AL FAISAL RESTAURANT,55.74591255,24.26945496,العين,Al Ain,القطارة,AL QATTARA,المراغة,Al Mragha,37631792,,,82396,Eating and Drinking,30,Restaurant,32,55.745912550000014,24.26945496000002
