,OBJECTID,NAME_ARA,NAME_ENG,LONGITUDE,LATITUDE,LICENSENUMBER,LICENSETYPENAMEEN,LEGALTYPENAMEAR,LEGALTYPENAMEEN,RENEWALDATE,ISSUEDATE,EXPIRYDATE,PHONE_NO,FAX_NO,MOBILENUM,URL,EMAIL,ADDRLINE1,POBOX,REGION_ARA,REGION_ENG,longitude,latitude
10,11,فندق ستراند,STRAND HOTEL,54.40936089,24.43979263,TL10605,Hotel,مؤسسة فردية,Sole Proprietorship,20-Dec-12,40532.0,41627.0,97126799000.0,97126799944.0,506118282.0,,sultanalkhazraji@hotmail.com,ابوظبي - شارع السلام - بناية حسن بن الشيخ محمد الخزرجي,46377,أبوظبي,Abu Dhabi,54.40960693359375,24.44000244140625
11,12,فندق باراجون,PARAGON HOTEL,54.3634491,24.48464966,TL10231,Hotel,مؤسسة فردية,Sole Proprietorship,19-May-13,40317.0,41777.0,97125018777.0,97125018700.0,503303395.0,,kshamsi@almasahotels.com,ابوظبي - شارع  الكترا - بناية الشيخ سعيد بن زايد آل نهيان ,41665,أبوظبي,Abu Dhabi,54.36358642578125,24.48480224609375
12,13,فندق الحمراء سيتي سيزنز,CITY SEASONS ALHAMRA HOTEL,54.37090874,24.4908371,TL06232,Hotel,مؤسسة فردية,Sole Proprietorship,25-Oct-12,34675.0,41571.0,97124176500.0,97126780803.0,501045146.0,,george.demitry@cityseasonsabudhabi.com,ابوظبي - شارع زايد الثاني - بناية الشيخ مسلم بن سالم بن حم العامري,4706,أبوظبي,Abu Dhabi,54.37103271484375,24.49102783203125
13,14,فندق جراند كونتيننتال,Grand Contnintal Hotel ,54.36639404,24.49301624,TL06260,Hotel,مؤسسة فردية,Sole Proprietorship,13-Nov-12,32902.0,41590.0,97126904000.0,97126264888.0,971508182939.0,,info@gcfh.ae,ابوظبي - شارع حمدان - بناية ورثة الشيخ  خادم بن بطي ال حامد,28080,أبوظبي,Abu Dhabi,54.36663818359375,24.49322509765625
14,15,فندق شانغريلا - قرية البري,SHANGRI-LA HOTEL - QARYAT ALBERI,54.49084854,24.40629864,TL07438,Hotel,شركة ذات مسؤولية محدودة,Limited Liability Company (L.L.C.),2-Aug-12,39296.0,41487.0,97125098300.0,97125098307.0,566878308.0,,arbindk.shrestha@shangri-la.com,ابوظبي - منطقة بين الجسرين ,128881,أبوظبي,Abu Dhabi,54.49102783203125,24.40643310546875
15,16,فندق كراون بلازا ,CROWNE PLAZA HOTEL,54.36565018,24.49089241,TL06105,Hotel,مؤسسة فردية,Sole Proprietorship,3-Jun-13,29303.0,41792.0,97126210000.0,97126216799.0,506150416.0,,ivor.prestwood@ihg.com,أبوظبي - شارع حمدان بن محمد ,3541,أبوظبي,Abu Dhabi,54.36578369140625,24.49102783203125
16,17,فندق نادي ضباط القوات المسلحة,Armed Forces Officer Club Hotel,54.4735527,24.39957523,TL06243,Hotel,حكومي,Governmental Entity,14-Nov-12,39027.0,41591.0,97124415900.0,97124415666.0,566170801.0,,salahkhider@afoc.mil.ae,أبوظبي - شارع الخليج العربي - نادي ضباط القوات المسلحة,6382,أبوظبي,Abu Dhabi,54.47381591796875,24.39984130859375
17,18,فندق ساندز,Sands Hotel,54.36818314,24.48899078,TL06146,Hotel,مؤسسة وطنية,National Corporation,21-Nov-12,36768.0,41598.0,97126156666.0,97126335660.0,508186131.0,,info.sands@danathotels.com,ابوظبي - شارع زايد الاول - بناية شركة الامارات للاستثمار العقاري,32430,أبوظبي,Abu Dhabi,54.368408203125,24.48919677734375
18,19,فندق الشاطئ روتانا,Beach Rotana Hotel ,54.38428497,24.49455643,TL06183,Hotel,مؤسسة فردية,Sole Proprietorship,14-Aug-12,34280.0,41499.0,97126979000.0,97126979094.0,566424671.0,www.rotana.com,hr1.beach@rotana.com,ابوظبي - شارع النادي السياحي - بناية فندق الشاطئ,45200,أبوظبي,Abu Dhabi,54.3843994140625,24.49481201171875
19,20,لو رويال مريديان ابوظبي,Le Royal Meridien Abu Dhabi EST.,54.36579895,24.49593163,TL06247,Hotel,مؤسسة فردية,Sole Proprietorship,31-Oct-12,34039.0,41577.0,97124014000.0,97126950433.0,503410403.0,,mudathirkarim@lemeridien.com,ابوظبي - شارع خليفة بن زايد آل نهيان - بناية الشيخ / مبارك بن محمد آل نهيان,45505,أبوظبي,Abu Dhabi,54.36602783203125,24.49603271484375
20,21,شركة سيتي سنتر اوتيل ميركيور ذ م م ,CITY CENTRE HOTEL MERCURE L L C ,54.36260796,24.4887886,TL06202,Hotel,شركة ذات مسؤولية محدودة,Limited Liability Company (L.L.C.),23-Sep-12,32951.0,41539.0,97126333555.0,97126210128.0,506169763.0,www.accorhotels.com,H0662-HR@ACCOR.COM,ابوظبي - شارع حمدان بن محمد - بناية الشيخ حمدان بن محمد آل نهيان,47136,أبوظبي,Abu Dhabi,54.36279296875,24.489013671875
21,22,ملينيوم - ابوظبي,MILLENNIUM HOTEL,54.36424828,24.4946003,TL06101,Hotel,مؤسسة فردية,Sole Proprietorship,30-Apr-13,37313.0,41758.0,97126146000.0,97126146668.0,971506140177.0,,license@mill-abudhabi.com,ابوظبي - شارع خليفة بن زايد - بناية خلف احمد العتيبة,44486,أبوظبي,Abu Dhabi,54.36444091796875,24.49481201171875
22,23,فندق المفرق,AL MAFRAQ HOTEL,54.62327576,24.33034611,TL06072,Hotel,مؤسسة فردية,Sole Proprietorship,22-Apr-13,35257.0,41750.0,97126596666.0,97125822899.0,502359180.0,,pro@mafraq-hotel.com,أبوظبي - المفرق - فندق المفرق,6770,أبوظبي,Abu Dhabi,54.6234130859375,24.33038330078125
23,24,فندق بلازا الامارات,EMIRATE PLAZA HOTEL,54.37477493,24.50121689,TL06102,Hotel,مؤسسة فردية,Sole Proprietorship,21-May-13,32956.0,41779.0,97126722000.0,97126790551.0,971508275659.0,,eph@emirates.net.ae,أبوظبي - شارع الميناء - بناية خلفان خميس العميمي,5295,أبوظبي,Abu Dhabi,54.375,24.50140380859375
24,25,فندق اوريكس,Oryx Hotel,54.34079361,24.46924973,TL06178,Hotel,مؤسسة فردية,Sole Proprietorship,15-Aug-13,38248.0,41865.0,97126810001.0,97126811141.0,971503122868.0,,executive@oryxhotel.ae,ابوظبي - شارع زايد الاول - بناية الشيخ أحمد بن سيف آل نهيان,54845,أبوظبي,Abu Dhabi,54.34100341796875,24.46942138671875
25,26,فندق انتركونتيننتال ابوظبي,INTERCONTINENTAL HOTEL ABU DHABI,54.32859802,24.45734692,TL06145,Hotel,شركة مساهمة عامة,Public Joint Stock Company,4-Jun-13,29501.0,41793.0,97126666888.0,97126669888.0,505413207.0,,Intercontinental.abudhabi@ihg.com,ابوظبي - شارع البطين - بناية فندق انتركونتيننتال,4171,أبوظبي,Abu Dhabi,54.32879638671875,24.4573974609375
26,27,فندق دانة - الديار,Al Diar Dana Hotel,54.37964249,24.49657345,TL06225,Hotel,مؤسسة فردية,Sole Proprietorship,25-Sep-12,36353.0,41541.0,97126456000.0,97126458650.0,504916686.0,www.aldiarhotels.com,danahtl@emirates.net.ae,ابوظبي - شارع زايد الثاني - بناية محمد احمد خليفة السويدي,47300,أبوظبي,Abu Dhabi,54.37982177734375,24.496826171875
27,28,فندق شاطىء الظفرة,Al Dhafra Beach Hotel,52.64592743,24.16337013,TL06228,Hotel,مؤسسة فردية,Sole Proprietorship,13-Nov-12,29788.0,41590.0,97128012101.0,971280000000.0,971501115421.0,,hassan.rajab@danathotels.com,المنطقة الغربية - الرويس - جبل الظنة - بناية المؤسسة الوطنية للسياحة والفنادق,11828,المنطقة الغربية,Western Region,52.64599609375,24.16363525390625
28,29,منتجع دانات جبل الظنة,Danat Jabal Al Dhanna Resort,52.64202309,24.16466141,TL06023,Hotel,مؤسسة فردية,Sole Proprietorship,30-Mar-13,38404.0,41727.0,97128012354.0,97128012333.0,501115421.0,,hasan.rajab@danathotels.com,مدينة جبل الظنة - بناية منتجع دانات جبل الظنة,12333,المنطقة الغربية,Western Region,52.6422119140625,24.164794921875
29,30,فندق قصر الامارات,Emirates Palace Hotel,54.31750679,24.46211624,TL06174,Hotel,مؤسسة فردية,Sole Proprietorship,13-Aug-12,38187.0,41498.0,97126909000.0,97126909999.0,971508181671.0,,Alaa.Haboush@emiratespalace.ae,ابوظبي - شارع الكورنيش - بناية فندق قصر الامارات,39999,أبوظبي,Abu Dhabi,54.317626953125,24.46221923828125
30,31,فندق شيراتون ابوظبي,Sheraton Abu Dhabi Hotel,54.36856461,24.50048065,TL06168,Hotel,شركة مساهمة عامة,Public Joint Stock Company,6-Aug-12,33082.0,41491.0,97126773333.0,97126725149.0,504167388.0,,sheraton.abudhabi@sheraton.com,ابوظبي - شارع الكورنيش - بناية شركة ابوظبي الوطنية للفنادق,640,أبوظبي,Abu Dhabi,54.36883544921875,24.5006103515625
31,32,فندق ريجنسي - الديار,Al Diar Regency Hotel,54.37053299,24.50016594,TL06149,Hotel,شركة مساهمة عامة,Public Joint Stock Company,23-Jul-13,36417.0,41842.0,,,505723996.0,,regencyhotel@regency-mina.ae,ابوظبي - شارع السلام - بناية معالي الدكتور محمد سعيد البادي,47600,أبوظبي,Abu Dhabi,54.37060546875,24.50042724609375
32,33,فندق كابيتال الديار,Al Diar Capital Hotel,54.37391281,24.5028162,TL06157,Hotel,مؤسسة فردية,Sole Proprietorship,26-Jul-13,37471.0,41845.0,97126787700.0,97126787790.0,506129906.0,,adcaphtl@emirates.net.ae,ابوظبي - شارع الميناء - بناية ورثة سعيد خلفان القمزي,73837,أبوظبي,Abu Dhabi,54.3740234375,24.50299072265625
33,34,فندق الميناء - الديار,ALDIAR MINA HOTEL,54.37109375,24.50004292,TL06130,Hotel,شركة مساهمة عامة,Public Joint Stock Company,27-Jun-13,36351.0,41816.0,,,505723996.0,,minahotel@regency-mina.ae,أبوظبي - شارع الأستقلال - بناية محمد سعيد البادي,44421,أبوظبي,Abu Dhabi,54.3712158203125,24.50018310546875
34,35,فندق ميريديان ابوظبي,Meridien Abu Dhabi Hotel,54.38109016,24.49901581,TL06254,Hotel,شركة مساهمة عامة,Public Joint Stock Company,18-Nov-12,33110.0,41595.0,97126446666.0,97126456160.0,503299832.0,,lemeridien.abudhabi@lemeridien.com,ابوظبي - شارع النادي السياحي - بناية فندق مريديان ابوظبي,46066,أبوظبي,Abu Dhabi,54.3812255859375,24.49920654296875
35,36,فندق هيلتون انتر ناشيونال ابوظبي,Hilton International Hotel Abu Dhabi,54.32571983,24.4628849,TL06151,Hotel,شركة مساهمة عامة,Public Joint Stock Company,18-Jul-13,29236.0,41837.0,97126811900.0,97126811696.0,506421686.0,,Personnel.Abudhabi@hilton.com,ابوظبي - شارع الكورنيش - بناية فندق هيلتون ابوظبي الدولي,877,أبوظبي,Abu Dhabi,54.3258056640625,24.4630126953125
36,37,فندق سبأ,Saba Hotel,55.74761963,24.2185955,TL07056,Hotel,مؤسسة فردية,Sole Proprietorship,27-Mar-08,35771.0,39898.0,97126448333.0,97126447544.0,971506595223.0,,saba@ramee-group.com,ابوظبي - النادي السياحي - على حوض شرق 1/16 - بناية حسن بن الشيخ محمد الخزرجي,32956,أبوظبي,Abu Dhabi,55.747802734375,24.21881103515625
37,38,فندق هيلتون العين,HILTON AL AIN,55.78461266,24.20745087,TL07127,Hotel,مؤسسة وطنية,National Corporation,18-Jul-13,39281.0,41837.0,97137686666.0,97137686888.0,506188308.0,www.hiltonalain.com,AlAin@hilton.com,العين - منطقة الصاروج ,1333,العين,Al-Ain,55.7847900390625,24.2076416015625
38,39,فندق الماسة,AL MASSA HOTEL ,55.76802063,24.22284126,TL07161,Hotel,مؤسسة وطنية,National Corporation,22-Oct-12,39377.0,41568.0,97137039000.0,97137627500.0,506230310.0,,almassa_hotel@eim.ae,العين - منطقة الجيمي - بناية / صاحب العلاقة ,19483,العين,Al-Ain,55.7681884765625,24.2230224609375
39,40,فندق العين روتانا,AL AIN ROTANA HOTEL,55.7485733,24.21843338,TL07189,Hotel,مؤسسة وطنية,National Corporation,2-Sep-12,39327.0,41518.0,97137031002.0,97137545353.0,505240678.0,,osama.gandour@rotana.com,العين - بناية / الشيخ طحنون بن محمد ال نهيان ,1210,العين,Al-Ain,55.74884033203125,24.2186279296875
40,41,فندق ميركوري غراند جبل حفيت - العين,MERCURE GRAND HOTEL JEBEL HAFEET ,55.76817703,24.07780457,TL07090,Hotel,مؤسسة وطنية,National Corporation,15-May-13,39583.0,41773.0,97137046700.0,97137838786.0,506633095.0,,H3573-GM@accor.com,العين- بناية / الشيخ أحمد بن سيف آل نهيان - منطقة العين الفايضة - جبل حفيت ,24476,العين,Al-Ain,55.7684326171875,24.0780029296875
41,42,دانات منتجع العين,DANAT ALAIN RESORT,55.80444336,24.20794678,TL07183,Hotel,مؤسسة وطنية,National Corporation,24-Dec-12,39440.0,41631.0,97137046000.0,97137046009.0,971504478336.0,www.danathotels.com,ahmed.margoushy@danathotels.com,العين - شارع الطلعان - بناية دانات منتجع العين,16031,العين,Al-Ain,55.80462646484375,24.2080078125
42,43,فندق بارك ان جزيرة ياس,PARK INN YAS ISLAND HOTEL ,54.59836,24.467878,TL09633,Hotel,مؤسسة فردية,Sole Proprietorship,26-Oct-12,40112.0,41572.0,97126562222.0,97126562227.0,506429204.0,,craig.bruce@rezidorparkinn.com,ابوظبي - جزيرة ياس - بناية بارك ان,93725,أبوظبي,Abu Dhabi,54.5986328125,24.468017578125
43,44,فندق راديسون بلو جزيرة ياس,RADISSON BLU HOTEL YAS ISLAND,54.598065,24.467032999999997,TL09632,Hotel,مؤسسة فردية,Sole Proprietorship,26-Oct-12,40112.0,41572.0,97126562000.0,97126562225.0,509759852.0,,Gemellia.Novi@RadissonBLU.com,ابوظبي - جزيرة ياس - بناية فندق راديسون بلو جزيرة ياس,93725,أبوظبي,Abu Dhabi,54.59820556640625,24.46722412109375
44,45,فندق سنترو جزيرة ياس-روتانا,CENTRO YAS ISLAND HOTEL - BY ROTANA,54.598982,24.465163,TL09628,Hotel,مؤسسة فردية,Sole Proprietorship,26-Oct-12,40112.0,41572.0,97126564000.0,97125651414.0,504050260.0,,patrick.martinez@rotana.com,ابوظبي - جزيرة ياس - بناية الدار العقارية,131755,أبوظبي,Abu Dhabi,54.59918212890625,24.4652099609375
45,46,فندق روتانا جزيرة ياس,YAS ISLAND ROTANA HOTEL ,54.599218,24.466144999999997,TL09630,Hotel,مؤسسة فردية,Sole Proprietorship,26-Oct-12,40112.0,41572.0,97126564000.0,97126561414.0,554050260.0,,patrick.martinez@rotana.com,ابوظبي - جزيرة ياس - بناية فندق روتانا جزيرة ياس,131755,أبوظبي,Abu Dhabi,54.59942626953125,24.4661865234375
46,47,فندق غافه,Gava Hotel,54.38309288,24.47761536,TL07086,Hotel,مؤسسة فردية,Sole Proprietorship,3-Apr-13,39173.0,41731.0,97126425667.0,97126416744.0,504412348.0,,gava@eim.ae,أبوظبي - شارع الدفاع - رقم البناية 174,44227,أبوظبي,Abu Dhabi,54.38323974609375,24.477783203125
47,48,فندق الشريعة,Al Shareaa Hotel,54.72105026,24.61657143,TL07045,Hotel,مؤسسة فردية,Sole Proprietorship,4-Mar-13,37368.0,41701.0,97126119000.0,97125638413.0,558156183.0,,gm@tulipinnalrahba.com,مدينة الرحبة - بناية فندق الشريعة,77431,أبوظبي,Abu Dhabi,54.72119140625,24.6168212890625
48,49,فندق الجزيرة وشاليهات غنتوت,AlJazera Hotel and Resort Ghantot,54.89626503,24.85803413,TL07046,Hotel,مؤسسة فردية,Sole Proprietorship,4-Mar-13,37185.0,41701.0,97125629100.0,97125629035.0,502784509.0,,rm@goldentulipaljazira.com,مدينة غنتوت - بناية انترناشيونال كابيتال تريدنغ,26268,أبوظبي,Abu Dhabi,54.89642333984375,24.85821533203125
49,50,فندق ومنتجع كاسيلز غنتوت ,CASSELLS GHANTOOT HOTEL AND RESORT,54.8922081,24.86363983,TL06222,Hotel,مؤسسة فردية,Sole Proprietorship,16-Oct-12,39002.0,41562.0,97125068888.0,97125068811.0,506275570.0,,info@fivecontinents.co,ابوظبي - غنتوت ,126969,أبوظبي,Abu Dhabi,54.89239501953125,24.86383056640625
50,51,ستايبريدج سويتس جزيرة ياس,STAYBRIDGE SUITES YAS ISLAND,54.597941999999996,24.464831,TL09635,Hotel,مؤسسة فردية,Sole Proprietorship,26-Oct-12,40112.0,41572.0,97126563333.0,97126563344.0,506624952.0,,THIERRY.PERROT@CPYAS.COM,ابوظبي - جزيرة ياس - بناية ستايبرج سويتس جزيرة ياس,42375,أبوظبي,Abu Dhabi,54.59820556640625,24.46502685546875
51,52,1 فندق الماسة ,AL MASSA HOTEL 1,55.74013519,24.24198055,TL09204,Hotel,مؤسسة فردية,Sole Proprietorship,14-Jun-13,39978.0,41803.0,97137039100.0,97137639007.0,503303395.0,,kshamsi@almasahotels.com,العين - منطقة الجبمي  - بناية العصري سعيد ناصر الخيلي ,19483,العين,Al-Ain,55.740234375,24.2421875
52,53,فندق العين بلاس ,AL Ain Palace Hotel ,54.36531258,24.4972229,TL08048,Hotel,مؤسسة فردية,Sole Proprietorship,17-Apr-13,29635.0,41745.0,97126794777.0,97126795713.0,971555661717.0,,aphexoff@emirates.net.ae,ابوظبي - شارع الكرنيش - بناية العين بلاس,33,أبوظبي,Abu Dhabi,54.36541748046875,24.4974365234375
53,54,فندق جراند ميلينيوم الوحده,GRAND MILLENNIUM ALWHDA HOTEL,54.37405396,24.47144699,TL10192,Hotel,مؤسسة فردية,Sole Proprietorship,15-Apr-13,40283.0,41743.0,97124439999.0,97124439444.0,566850446.0,,leila.hermosada@grandmill-alwahda.com,ابوظبي - شارع هزاع بن زايد - بناية شركة نادي الوحدة,107080,أبوظبي,Abu Dhabi,54.37420654296875,24.47161865234375
54,55,فندق فيرمونت باب البحر ,FAIRMONT BAB AL BAHR HOTEL,54.49056625,24.41476822,TL09475,Hotel,مؤسسة فردية,Sole Proprietorship,1-Sep-12,40057.0,41517.0,97126543333.0,97126543322.0,504140280.0,,ali.abadeh@fairmont.com,ابوظبي - منطقة بين الجسرين - بناية فيرمولت باب البحر,114304,أبوظبي,Abu Dhabi,54.4906005859375,24.4150390625
55,56,فندق قصر السراب,QASR AL SARAB HOTEL,54.261475,22.955864,TL09615,Hotel,مؤسسة فردية,Sole Proprietorship,22-Oct-12,40108.0,41568.0,97128862088.0,97128862086.0,509557119.0,,wsoueid@anantara.com,ابوظبي - منطقة ليوا - بناية فندق قصر السراب,131277,المنطقة الغربية,Western Region,54.2615966796875,22.95599365234375
56,57,فندق كراون بلازا جزيرة ياس,CROWNE PLAZA HOTEL YAS ISLAND,54.59744,24.465673,TL09636,Hotel,مؤسسة فردية,Sole Proprietorship,26-Oct-12,40112.0,41572.0,97126563000.0,97126563001.0,971506624951.0,,THIERRY.PERROT@ihg.com,ابوظبي - جزيرة ياس - بناية فندق كروان بلازا جزيرة ياس,41880,أبوظبي,Abu Dhabi,54.59759521484375,24.4658203125
57,58,فندق كنجز جيت,Kings Gate Hotel ,54.37988281,24.4915247,TL08086,Hotel,مؤسسة فردية,Sole Proprietorship,4-Feb-13,39482.0,41673.0,97124995005.0,9716430071.0,971506161847.0,,ahmed.siddiqui@kg-abudhabi.ae,أبوظبي - شارع السلام - بناية فندق كنجز جيت,48573,أبوظبي,Abu Dhabi,54.3800048828125,24.49163818359375
58,59,منتجع اسفار ,ASFAR RESORTE ,54.38034439,24.48850536,TL07414,Hotel,مؤسسة فردية,Sole Proprietorship,26-Jul-12,39289.0,41480.0,97137628882.0,97137629666.0,504457316.0,,reservation@asfarresorts.com,العين - منطقة القطارة - شارع المسعودي - بناية صياح محمد موسى القبيسي,64975,العين,Al-Ain,54.380615234375,24.48858642578125
59,60,فندق نادي الجزيرة,AL JAZIRA CLUB HOTEL,54.39165115,24.45237541,TL07505,Hotel,مؤسسة فردية,Sole Proprietorship,4-Sep-12,39329.0,41520.0,97124433966.0,97124453020.0,971502355084.0,www.jch.ae,ift@jc.ae,أبوظبي - نادي الجزيرة الرياضي الثقافي,2750,أبوظبي,Abu Dhabi,54.39178466796875,24.45263671875
60,61,فندق توب ستارز,Top Stars Hotel,54.36719513,24.48006821,TL09094,Hotel,مؤسسة فردية,Sole Proprietorship,1-Apr-13,39904.0,41729.0,97126140900.0,97126334880.0,501243942.0,,gm@tpstra.ae,ابوظبي - شارع المرر - خلف البريد المركزي,61152,أبوظبي,Abu Dhabi,54.367431640625,24.480224609375
61,62,فندق هيلتون كابيتال جراند - ذ م م,HILTON CAPITAL GRAND HOTEL - LLC ,54.456728999999996,24.421545,TL10013,Hotel,شركة ذات مسؤولية محدودة,Limited Liability Company (L.L.C.),13-Jan-13,40191.0,41651.0,97126675599.0,97126655592.0,971506414464.0,,faman@alfaridainvst.com,ابوظبي - شارع المطار - فندق هيلتون كابيتال جراند ذ م م ,11,أبوظبي,Abu Dhabi,54.456787109375,24.42181396484375
62,63,فندق السلع,Al Sila Hotel,54.36714935,24.48458481,TL09214,Hotel,مؤسسة فردية,Sole Proprietorship,21-Jun-09,39985.0,40349.0,97120000000.0,97120000000.0,,,y@ymail.com,السلع,0,أبوظبي,Abu Dhabi,54.3671875,24.48480224609375
63,64,فندق الخالدية بالاس ريحان,ALKHALIDIA PALACE RAYHAAN HOTEL ,54.31845856,24.45573521,TL09496,Hotel,مؤسسة فردية,Sole Proprietorship,18-Oct-12,38643.0,41564.0,97126570000.0,97126570245.0,504686306.0,,khalidiyah.rayhaan@rotana.com,ابوظبي - شارع الكورنيش - بناية فندق الخالدية بالاس ريحان,4010,أبوظبي,Abu Dhabi,54.318603515625,24.455810546875
64,65,فندق بارك روتانا ,PARK ROTANA HOTEL ,54.47342682,24.42300797,TL09507,Hotel,مؤسسة فردية,Sole Proprietorship,14-Sep-12,40070.0,41530.0,97126573333.0,97126573000.0,509895519.0,,abdulla.bashrawi@rotana.com,ابوظبي - شارع السلام - بناية فندق بارك روتانا,43377,أبوظبي,Abu Dhabi,54.4736328125,24.4232177734375
65,66,فندق كريستال,CRISTAL HOTEL ,54.3634491,24.48464966,TL09120,Hotel,مؤسسة فردية,Sole Proprietorship,22-Apr-13,39925.0,41750.0,97126520000.0,97126520001.0,502573339.0,,mail@cristalhospitality.com,ابوظبي - مدينة زايد - بناية الشيخ حمدان بن زايد ال نهيان,72898,أبوظبي,Abu Dhabi,54.36358642578125,24.48480224609375
66,67,فندق ون تو ون - القريه,ONE TO ONE HOTELS - THE VILLAGE,54.388134,24.47533703,TL08386,Hotel,مؤسسة فردية,Sole Proprietorship,30-Jul-12,39659.0,41484.0,97124952000.0,97124952001.0,506422306.0,,faizal.fassy@onetoonehotels.com,ابوظبي - شارع السلام - بناية  الشيخ سعيد بن زايد ال نهيان,128967,أبوظبي,Abu Dhabi,54.38818359375,24.47540283203125
67,68,فندق تريدرز - قرية البري,TRADERS HOTEL - QARYAT AL BERI ,54.49140549,24.41265106,TL09386,Hotel,مؤسسة فردية,Sole Proprietorship,21-Jul-12,40015.0,41475.0,97125098888.0,97125098307.0,503391136.0,,haytham.mohamed@tradershotels.com,ابوظبي - منطقة بين الجسرين - بناية قرية البري,128881,أبوظبي,Abu Dhabi,54.49163818359375,24.412841796875
