,OBJECTID,NAMEENG,NAMEAR,CF_PHONE,CF_EMAIL,CF_FAX,CF_POBOX,FACILITYTYPE,FACILITYSUBTYPE,CLASS,HR24,OPENINGHR,CATEGORY,GRADE,SELFREPORTEDSCORECARD,CONCERNSAREA,CONFISCATIONDESTRUCTION,longitude,latitude
15,16,SAD PHARMACY,صيدلية سعد,(971)-2-6277332,saadpharmacy@yahoo.com,(971)-2-6274655,2871,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.36585808000001,24.492147450000004
16,17,SALAMATK PHARMACY,صيدلية سلامتك,(971)-2-5588018,slamtacph@gmail.com,(971)-2-5584433,73022,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.525983,24.40751899999998
17,18,GREEN HILLS PHARMACY,صيدلية جرين هيلز,(971)-2-6785577,greenhills.ad@gmail.com,(971)-2-6787177,133766,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.536603000000014,24.324910999999986
18,19,HAMEEM PHARMACY,صيدلية حميم,02-5535599,hameempharmacy2013@gmail.com,2-5535544,92947,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37489599999998,24.490879000000007
19,20,HARLEY STREET PHARMACY L.L.C,صيدلية هارلي استريت ذ.م.م,02-6133999,tarekelali@gmail.com,2-6133888,46689,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.318675989999974,24.47427558999999
20,21,FIRAS PHARMACY L.L.C,صيدلية فراس ذ م م,02-6666084,firasph@gmail.com,2-6663656,145432,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.38096618999998,24.489578250000022
21,22,IBN SINA PHARMACY L.L.C. - BRANCH 11,صيدلية ابن سينا ذ.م.م - فرع 11,03-7843975,shorouq.h@akigroup.com,3-7843179,4236,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.77927199999999,24.273483999999996
22,23,IBN SINA PHARMACY L.L.C. - BRANCH 16,صيدلية ابن سينا ذ.م.م - فرع 16,02-5864016,bsp.bm@akigroup.com,2-5859787,4236,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.620925,24.312680999999998
23,24,INPATIENT AMANA HEALTH CARE MEDICAL AND REHABILITATION HOSPITAL LLC PHARMACY,صيدلية أمانة هيلث كير ميديكال أند ريهابليتيشن هوسبيتال ذ.م.م الداخلية,(971)-2-6105999,mrashid@amanahealthcare.com,(971)-2-5580760,110122,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.588234,24.436364000000026
24,25,INTERNATIONAL PHARMACY - LLC,الصـيدلية الدولية - ذ م م,02-6273579,internationalpharmacy@hotmail.com,2-6261400,945,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.35961914000001,24.49203682000001
25,26,AL SHAMKHA HEALTHCARE CENTER PHARMACY,صيدلية مركز الشامخة الصحي,(971)-2-7116683,ahs@seha.ae,(971)-2-6510531,111355,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,54.708214999999996,24.382708332999982
26,27,MADINAT ZAYED HOSPITAL IN PATIENT PHARMACY,الصيدليه الداخليه لمستشفى مدينه زايد,02-8071451,ah_saeed@seha.ae,2-8848183,50018,Pharmacy,Inpatient Pharmacy,Public,Yes,,,,,,,53.68043518000002,23.65849780999997
27,28,AESTHETIC DERMAL PHARMACY,صيدلية استيتك ديرمال,02-4457100,emad@dccad.ae,2-4457100,72713,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.336712999999975,24.460406999999975
28,29,AL AHOOD PHARMACY,صـيدلية العهــود,02-4453955,rxgahs666@yahoo.com,2-4453949,29924,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.38511276000003,24.460525510000025
29,30,AL AMIR PHARMACY,صيدلية العامر,02-5836707,rxgahs585@yahoo.com,2-5831695,38120,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.63900374999997,24.29650687999998
30,31,AL ANOOD PHARMACY,صـيدلية العنـــــود,02-6727196,rxgahs549@yahoo.com,2-6727169,35971,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.372823719999985,24.49386978000001
31,32,AL MARWA PHARMACY,صـيدلية المــروة,(971)-2-6664200,almarwa.pharmacy@yahoo.com,(971)-2-6664200,44584,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.34833527000001,24.47086048
32,33,AL MULLA PHARMACY,صـيدلية المــلا,02-4487740,almullapharmacy@hotmail.com,2-4488839,70936,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.403133389999994,24.445669169999974
33,34,AL MUROJ PHARMACY,صيدلية المروج,02-5857031,almuroj.pharmacy@gmail.com,2-5857030,93708,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.61911600000002,24.300358000000017
34,35,AL MUWEIJI HEALTHCARE CENTER PHARMACY,صيدلية مركز المويجعي الصحي,03-7461549,ahs@seha.ae,3-7461020,111355,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,55.71910286000002,24.20703696999999
35,36,MEDEOR INTERNATIONAL HOSPITAL INPATIENT PHARMACY,صيدلية مستشفى ميديور انترناشيونال الداخلية,02-2222366,saad.lifeline@vpshealth.com,2-2222366,94666,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,55.66241500000001,24.206773999999996
36,37,MEDICINA PHARMACY - BRANCH 1,صيدلية ميديسينا - فرع 1,02-3042020,amro.abbas@pharmalink.ae,2-6261608,41412,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.44203900000002,24.420511999999974
37,38,MEDICINA PHARMACY - BRANCH 13,صيدلية ميديسينا - فرع 13,(971)-2-4419287,amro.abbas@pharmalink.ae,(971)-2-4419267,41412,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.37173080000002,24.468292239999982
38,39,MERMAID PHARMACY W L L,صيدليــة عروس البحـر   ذ م م,02-6663343,smrabusamra@gmail.com,2-6667568,8132,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.34864615999999,24.472810750000008
39,40,MODERN DAR AL SHIFA PHARMACY - LLC -  MUSSAFAH BRANCH,صيدلية دار الشفاء الحديثة - ذ م م  - فرع المصفح,(971)-2-5557939,musaffah@asterpharmacy.com,(971)-2-5557939,91092,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.51023865000002,24.374193190000028
40,41,N M C PHARMACY,صيدلية أن أم سي,(971)-2-6179269,mohammad.darweesh@nmc.ae,(971)-2-6212120,6222,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.36109352,24.483837129999984
41,42,MEDICLINIC PHARMACY - MADINAT ZAYED 2,صيدلية ميديكلينيك - مدينة زايد 2,(971)-2-4066933,Bernil.Salarda@Mediclinic.ae,(971)-2-5598419,46713,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,53.69789505,23.667500500000017
42,43,AL SILA PHARMACY,صـيدلية السـلع,02-8722087,haadpf1216@gmail.com,2-8722087,77537,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,51.76383972000002,24.070672039999977
43,44,AL TADAWI PHARMACY,صيدلية التداوي,02-8844222,phy.madinatzayed@gmail.com,2-8848025,294010,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,53.72754500000002,23.657392000000016
44,45,AL WAGAN HOSPITAL OUTPATIENT PHARMACY,صيدلية المرضى الخارجيين بمستشفى الوجن,03-7017718,aassadi@seha.ae,3-7017732,15258,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,55.56575012000002,23.637324330000013
45,46,AL WAHDA PHARMACY - LLC - BRANCH,صيدلية الوحدة - ذ م م - فرع,02-5568269,alwahdapharmacy1@gmail.com,2-5568279,2839,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.609281539999984,24.44332886000001
46,47,ALMANARA PHARMACY ALCORNICHE,صيدلية المنارة الكورنيش,02-6675454,safia@sinamed.ae,2-6675544,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.32894700000003,24.464831000000004
47,48,ALPHA PHARMACY,صيدلية ألفـا,(971)-2-6440044,alphapharmacy2@gmail.com,(971)-2-6459555,44391,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.38323212,24.491628649999996
48,49,American Center Pharmacy LLC,صيدلية المركز الامريكي ذ م م,(971)-2-4433114,hr2@americancenteruae.com,(971)-2-4433118,108699,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.36240005000002,24.461132050000003
49,50,BAIN AL JUSRAIN PHARMACY,صـيدلية بـين الجسـرين,02-5588842,bjpharma1@gmail.com,2-5588843,92160,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.50442122999999,24.405865670000026
50,51,BEAUTY TRICK PHARMACY L L C,صيدلية بيوتي تريك ذ.م.م,02-6223477,beaut-pharmacy@hotmail.com,2-6422271,52699,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37332700000002,24.458951000000013
51,52,BRIGHT POINT PHARMACY LLC,صيدلية برايت بوينت ذ.م.م,02-6179269,jayagopal@nmc.ae,2-6212120,6222,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.393373999999994,24.452447000000006
52,53,BURJEEL PHARMACY L.L.C - BRANCH 1,صيدلية برجيل ذ.م.م - فرع 1,02-2222336,saad.lifeline@vpshealth.com,2-2222336,94666,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.537577999999996,24.341109000000017
53,54,CARE PHARMACY,صـيدلية العنايـة,(971)-2-6393955,carepharmuae@gmail.com,(971)-2-6393988,44162,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.372453689999986,24.48659325
54,55,DAR AL-SHIFAA PHARMACY LLC - BRANCH 2,صيدلية دار الشفاء ذ.م.م - فرع 2,(971)-2-6900900,hr@daralshifaa.net,(971)-2-6416669,2519,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.52387399999998,24.33315700000003
55,56,SEHA EMIRATES PHARMACY L.L.C,صيدلية صحة الأمارات ذ.م.م,(971)-2-4438999,pr@sehauae.com,(971)-2-4438898,41503,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.383083,24.47090300000002
56,57,SHIFA AL MADINA PHARMACY,صيدلية شفاء المدينة,03-7684840,alshifaclinic@yahoo.com,3-7684840,1695,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.759567000000004,24.221307000000024
57,58,TABARAK PHARMACY L L C,صـيدلية تبـارك ذ م م,02-5632596,haadpf1193@gmail.com,2-5632682,76047,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.69399261000001,24.553212169999995
58,59,TARGET PHARMACY,صـيدلية الهـدف,02-5585130,richardrpeter@gmail.com,2-5584202,11535,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.50493239999997,24.407448769999974
59,60,TAWAM HOSPITAL OUTPATIENT PHARMACY,صيدلية المرضى الخارجيين بمستشفى توام,03-7075256,sqandil@SEHA.ae,3-7075210,15258,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,55.64990997000001,24.195940020000023
60,61,THE SPECIALIST DIABETES TREATMENT & RESEARCH CENTRE - IMPERIAL COLLEGE LONDON DIABETES CENRTE  L.L.C,المركز التخصصي لعلاج و أبحاث السكري - مركز إمبريال كوليدج لندن للسكري - ذ.م.م,(971)-2-4040800,info@icldc.ae,(971)-2-4040800,48338,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,54.42839814500002,24.420307813000022
61,62,ULTRA CARE PHARMACY L.L.C,صيدلية التراكير ذ.م.م,(971)-2-4481111,azharnadeem1985@yahoo.com,(971)-2-4482255,127126,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37013625999998,24.462123870000028
62,63,NEW AL SHUMOO PHARMACY L.L.C,صيدلية الشموع الجديد ذ.م.م,02-8844343,haadpf1229@gmail.com,2-8844382,50414,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,53.70631218,23.65233231000002
63,64,NEW AMAREETA PHARMACY,صـيدلية عمريتـا الجـديدة,02-6668500,amritamedicalcenter@gmail.com,2-6654551,651,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.34820746999998,24.476982120000002
64,65,NMC SPECIALTY HOSPITAL PHARMACY L.L.C (2),صيدلية مستشفى ان ام سي التخصصي  2  ذ.م.م,02-6179269,hospitalauh@nmc.ae,2-6212120,6222,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.36054419999999,24.483381269999995
65,66,NOOR AL QOUA PHARMACY,صيدلية نور القوع,03-7357119,sajirabdullah@gmail.com,3-7356463,23264,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.43043699999998,23.41406999999998
66,67,NOOR ALAHLI PHARMACY L.L.C. - BRANCH 1,صيدلية نور الاهلي ذ.م.م - فرع 1,02-8119119,projects@ahaliagroup.ae,2-6267828,2419,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.48974099999998,24.339242000000013
67,68,Neima Healthcare Center Pharmacy,صيدلية مركز نعمة الصحي,(971)-2-7113711,ahs@seha.ae,(971)-2-7113711,111355,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,55.71684647000001,24.105012890000012
68,69,PANORAMA PHARMACY,صيدلية بانوراما,02-4066933,ykhabbaz@alnoorhospital.com,2-5598419,46713,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,53.460380550000025,24.05666351000002
69,70,PHARMACY THE SPECIALIST DIABETES TREATMENT AND RESEARCH CENTER (IMPERIAL COLLEGE DIABETES CENTRE ) L.L.C  BRANCH,صيدلية المركز التخصصي لعلاج وأبحاث السكري ( مركز امبريال كوليدج لندن للسكري )ذ.م.م - فرع,(971)-3-7464950,info@icldc.ae,(971)-3-7464981,222464,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,55.65039825000002,24.19577885000001
70,71,POINT CARE PHARMACY,صيدلية بوينت كير,(971)-2-5641927,pointcaresamha@gmail.com,(971)-2-5641923,5198,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.779687000000024,24.68205899999998
71,72,RUWAIS HOSPITAL PHARMACY,صيدلية مستشفى الرويس,02-7071278,wasaleh@adnoc.com,2-6664739,898,Pharmacy,24 Hr Pharmacy,Public,Yes,,,,,,,52.64669608999998,24.08408356000001
72,73,HADI PHARMACY,صـيدلية هــــادي,(971)-2-0000000,a111943@emirates.net.ae,(971)-2-0000000,91,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37467957000001,24.466728209999985
73,74,HAFEET PHARMACY,صـيدلية حــفيت,03-7829505,hafeetpharmacy@gmail.com,3-7829505,65120,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.69229317000003,24.148117070000012
74,75,HANI PHARMACY,صـيدلية هـــاني,(971)-2-6778501,hani.pharmacy@yahoo.com,(971)-2-6723678,44391,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.36992644999998,24.494934080000007
75,76,Emirates International Hospital Pharmacy - In-Patient,صيدلية مستشفى الامارات الدولي الداخلية,(971)-3-7637777,emirnet@emirates.net.ae,(971)-3-7636555,18088,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,55.722768780000024,24.234060290000002
76,77,HEALTH FIRST PHARMACY - BRANCH 10,صيدلية هيلث فيرست - فرع 10,02-5549056,nourramadan@planetme.ae,2-5549055,9690,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.46072006000003,24.34289837
77,78,HEALTH FIRST PHARMACY - BRANCH 11,صيدلية هيلث فيرست - فرع 11,04-7016033,nourramadan@planetme.ae,3-7804233,9690,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.64033599999999,24.218083999999976
78,79,FIRST CURE PHARMACY,صيدلية فيرست كيور,02-6434588,store@firstcuregroup.com,2-5520632,148712,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.56286699999998,24.296723999999983
79,80,IBN HAYAN PHARMACY,صيدلية  ابن حيان,02-6315663,Haytham_e@gulfdrug.com,2-6333052,621,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.368679050000026,24.471630100000027
80,81,IBN SINA PHARMACY L.L.C. - BRANCH 14,صيدلية ابن سينا ذ.م.م - فرع 14,02-4916435,bsp.marasi@akigroup.com,2-4916438,4236,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.334081000000026,24.451134000000025
81,82,IBN SINA PHARMACY L.L.C. - BRANCH 9,صيدلية ابن سينا ذ.م.م - فرع 9,02-6395241,shorouq.h@akigroup.com,2-6395246,4236,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.38874700000002,24.50138099999998
82,83,IN-PATIENT PHARMACY -MEDICLINIC HOSPITALS L.L.C. -- BRANCH 1,صيدلية داخلية - مستشفيات ميديكلينيك -- فرع 1,(971)-3-7667666,naser.othman@alnoorhospital.ae,(971)-3-7647479,14444,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,55.76755714000001,24.22427558999999
83,84,KHALID BIN AL WALEED PHARMACY,صـيدلية خـالد بن الوليـد,02-6744661,walid.pharmacy@yahoo.com,2-6744108,3032,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.372592929999996,24.490646360000028
84,85,SHEIKH KHALIFA MEDICAL CITY URGENT CARE CENTER PHARMACY,صيدلية مدينة الشيخ خليفة الطبية لمركزالرعاية الطارئة,2-4170211,ryoussif@seha.ae,2-6653474,51900,Pharmacy,24 Hr Pharmacy,Public,Yes,,,,,,,54.365573944000005,24.47093572900002
85,86,BURJEEL PHARMACY L.L.V - BRANCH 5,صيدلية برجيل ذ.م.م - فرع 5,02-2222366,saad.lifeline@vpshealth.com,2-2222363,73048,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.386472000000026,24.46518900000001
86,87,almaqam pharmacy,صيدلية المقام,3-7681188,almaqamph@yahoo.com,3-7681681,17733,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.62908936000002,24.184480670000028
87,88,LUMIERE PHARMACY LLC,صيدلية لوميير ذ م م,02-4455041,bsp.lp@akigroup.com,2-4455025,4236,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.38297,24.476741000000004
88,89,ABDULLA PHARMACY,صـيدلية عـبداللـه,03-7216444,abdulla.phy@gmail.com,3-7216443,69579,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.75536346000001,24.190066339999987
89,90,ABU DHABI PHARMACY,صيدلية ابوظبي,02-6772577,AD_Pharmacy@hotmail.com,2-6778872,38116,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.375640869999984,24.484142299999974
90,91,AL  MANARA  PHARMACY -  BRANCH 11,صيدلية المنارة – فرع 11,02-6269448,safia@sinamed.ae,2-6269449,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.43906700000002,24.43395400000003
91,92,AL AHLIA NATIONAL PHARMACY LLC,صيدلية الاهليه الوطنيه ذ م م,(971)-2-8119191,ahliamed@emirates.net.ae,(971)-2-5530658,2419,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.52372100000002,24.367354999999975
92,93,AL AIN PHARMACY- LLC,صـيدلية العــين - ذات مسئولية محدودة,(971)-3-7655120,info@alain-pharmacy.com,(971)-3-7655121,1667,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,55.53714943,24.52223778000001
93,94,AL AMAZON PHARMACY,صيدلية الأمزون,02-6784944,ragaeyalgendy@yahoo.com,2-6784944,44375,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.36967850000002,24.49373627
94,95,AL DEWAN PHARMACY,صـيدلية الديــوان,03-7556113,aldewanpharmacy@gmail.com,3-7556119,24775,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,55.73497391000001,24.225219729999992
95,96,AL KARAMA PHARMACY L L C,صيدلية الكرامة ذ م م,02-4457100,emad@dccad.ae,2-4457100,72713,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.369361879999985,24.468038560000025
96,97,AL KHALDIYA PHARMACY,صـيدلية الخــالدية,(971)-2-0000000,fadhil.albadi2014@gmail.com,(971)-2-0000000,30940,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.34576797,24.47043418999999
97,98,AL MANARA NEW  PHARMACY,صـيدلية المنارة الجديدة,(971)-2-6815080,aneermen@hotmail.com,(971)-2-6816993,3084,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.34257889000003,24.469749449999995
98,99,AL MANARA PHARMACY -BRANCH 2,صيدلية المنارة - فرع 2,2-6814645,aneermen@hotmail.com,2-6814644,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.49141400000002,24.40892100000002
99,100,AL MANARA PHARMACY CAPITAL MALL,صيدلية المنارة الكابيتال مول,02-4447643,deltamed@delta-uae.com,2-4446742,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.53057100000001,24.37524400000001
100,101,AL MARINA PHARMACY-L.L.C.,صـيدلية المارينــا-ذ.م.م,(971)-2-6339722,mariamed@emirates.net.ae,(971)-2-6339724,37790,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.365905759999976,24.48739624000001
101,102,AL MUSHRIF PHARMACY W L L,صـيدلية المشــرف -  ذ م م,02-4461614,almushrefpharmacy@gmail.com,2-4450649,25438,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.380714420000004,24.458776469999975
102,103,MEDICLINIC PHARMACY AL MUSAFFAH,صيدلية ميديكلينيك المصفح,(971)-2-4066933,Bernil.Salarda@Mediclinic.ae,(971)-2-5598419,46713,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.53330993999998,24.330414770000004
103,104,LAN CASTER PHARMACY - BRANCH 3,صيدلية لانكستر - فرع 3,(971)-3-7324050,yassir@bowling-city.com,(971)-3-7324080,80079,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.80023,24.746211000000017
104,105,LANDMARK PLAZA PHARMACY,صـيدلية لانـد مـارك بـلازا,02-6729400,landmarkplaza748@gmail.com,2-6729500,46333,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.375766750000025,24.49911689999999
105,106,LEADERS PHARMACY,صيدلية ليدرز,(971)-2-5529957,leadersph@mail.com,(971)-2-5529957,46099,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.520108600000015,24.37271770000001
106,107,LIFE CARE INTERNATIONAL PHARMACY LLC - BRANCH 1,صيدلية لايف كير العالمية ذ م م - فرع 1,02-2222366,saad.lifeline@vpshealth.com,2-2222363,133500,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.521203000000014,24.36070000000001
107,108,LLH HOSPITAL PHARMACY AL MUSAFFAH,صيدلية مستشفى ال ال اتش المصفح,02-2222222,saad.lifeline@vpshealth.com,2-2222222,92313,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.516410829999984,24.37876319999998
108,109,MEDICINA GULF PHARMACY,صيدلية ميديسينا الخليج,02-4483454,amro.abbas@pharmalink.ae,2-6261608,41412,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.415298459999974,24.438865659999976
109,110,MEDICLINIC PHARMACY - ALAIN - BRANCH 4,صيدلية ميديكلينيك - العين - فرع 4,(971)-3-7667666,naser.othman@alnoorhospital.ae,(971)-3-7647479,14444,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,55.768020630000024,24.222841259999996
110,111,NATION HOSPITAL INPATIENT PHARMACY,صيدلية داخلية -مستشفى نيشن,(971)-2-2011820,mohamed.yasin@thenationhospital.com,(971)-2-4435494,2651,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.36474800000002,24.46454399999999
111,112,NATURAL LIFE PHARMACY LLC,صيدلية ناتشيورال لايف ذ م م,(971)-2-5535548,SAJEEV@LIFE-ME.COM,(971)-2-5535528,71246,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.524407999999994,24.33233100000001
