,OBJECTID,CFID,CF_GROUP,CF_CATEGORY,CF_SUBCATEGORY,CF_NAMEAR,CF_NAMEENG,CF_LONG,CF_LAT,REGIONNAMEAR,REGIONNAMEENG,DISTRICTNAMEAR,DISTRICTNAMEENG,CMNTYNAMEAR,CMNTYNAMEENG,CF_PHONE,CF_EMAIL,CF_FAX,CF_POBOX,LGRPNAME,LGRPINDEX,LAYERNAME,longitude,latitude
10,38999,DED-371,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,فلافل شنكوتى,SHANKOOTI FALAFIL,53.47627724,24.08067079,المنطقة الغربية,Western Region,المرفأ,Al Marfa,المرفأ 5,Mr5,,,,,Eating and Drinking,30,Cafe,53.47627724,24.08067079
11,40268,DED-4427,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,نور الخير لخدمات الانترنت,NOOR AL KHAIR INTERNET SERVICES,55.52882576,23.85154724,العين,Al Ain,العراد,AL ARAAD,العراد 10,Al Arad 10,,,,99789,Eating and Drinking,30,Cafe,55.52882576000002,23.851547240000002
12,40279,DED-4789,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى وانترنت ماريا,MARIA INTERNET &CAFE  .,55.75233841,24.21260643,العين,Al Ain,الجاهلي,AL JAHILI,المرايغ,Al Marayegh,7556070,MARIAI@abudhabi.net.ae,7667151,84333,Eating and Drinking,30,Cafe,55.75233840999999,24.212606429999994
13,40291,DED-5861,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,جست كليك للانترنت,JUST CLICK INTERNET,54.3543656,24.47695149,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6340063,,,114134,Eating and Drinking,30,Cafe,54.354365599999994,24.476951489999976
14,40292,DED-5862,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,دوبى للانترنت,DOOBY INTERNET,54.35722733,24.48038539,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,,,,,Eating and Drinking,30,Cafe,54.35722733,24.48038538999998
15,40293,DED-5863,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى المونديال,MONDIAL CAFE,54.35727592,24.47839007,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6212448,,,73118,Eating and Drinking,30,Cafe,54.357275920000006,24.47839006999999
16,40294,DED-5864,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,كوفي شوب الورده الحمراء,RED ROSE  COFFEE SHOP,54.35719978,24.47783494,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,4923432,,,34733,Eating and Drinking,30,Cafe,54.35719977999997,24.47783493999998
17,40295,DED-5865,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,ارمنى كافيه,ARMANI CAFE,54.35777403,24.478353040000002,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,,,,,Eating and Drinking,30,Cafe,54.35777402999997,24.478353040000002
18,40298,DED-5868,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,كافيه الكأس الذهبى,THE GOLDEN CUP CAFE,54.35951042,24.47887039,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,,,,30115,Eating and Drinking,30,Cafe,54.35951041999999,24.478870389999997
19,40299,DED-5869,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,اورانجينا كافيه,ORANGENA CAFE,54.35820568,24.47781971,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,,,,,Eating and Drinking,30,Cafe,54.358205680000026,24.477819710000006
20,40301,DED-5871,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى جنة ذ.م.م,JANNAH COFFEE LLC,54.35761833,24.47734642,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,,,,22592,Eating and Drinking,30,Cafe,54.35761832999998,24.477346420000003
21,40302,DED-5872,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى ومرطبات عبير الشوق,ABEER AL SHOUQ REFRESHMENTS & CAFE,54.35693932,24.47768021,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6336030,,,7486,Eating and Drinking,30,Cafe,54.35693931999998,24.477680210000017
22,40305,DED-4033,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى ومرطبات  سهام,SIHAM REFRESHMENTS & CAFE,54.49463986,24.35229506,أبوظبي,Abu Dhabi,مصفح,Musaffah,مصفح  37,M37,0,,,74864,Eating and Drinking,30,Cafe,54.49463986000001,24.352295060000017
23,40326,DED-4476,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,كوستريكا كافيه,COSTARICA CAFFE,55.76310349,24.22450161,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي قصيدة,Hai Qesaidah,,,,17066,Eating and Drinking,30,Cafe,55.76310348999999,24.224501610000004
24,40333,DED-4806,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,عصائر سكويز - فرع,SQUEEZE JUICE- BRANCH,55.73090172,24.22402191,العين,Al Ain,المويجعي,AL MUWAIJI,شريعة المويجعي,Shareat Al Muwaiji,6331335,,6331339,44533,Eating and Drinking,30,Cafe,55.73090172000002,24.224021909999976
25,40341,DED-5873,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى دار الحى,DAR AL HAY CAFE,54.35320282,24.47513008,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6673800,himid@hotmail.com,,42843,Eating and Drinking,30,Cafe,54.35320281999998,24.475130079999985
26,40342,DED-5874,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,محل ليمون الذهبي للخضار والفواكه,GOLDEN LEMON VEGETABLE & FRUIT SHOP,54.35886002,24.4787302,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,,,,91896,Eating and Drinking,30,Cafe,54.35886002000001,24.478730199999973
27,40344,DED-5876,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى نت دوت كوم للانترنت,NET.COM INTERNET CAFE,54.35929135,24.47909563,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,,,,,Eating and Drinking,30,Cafe,54.35929134999998,24.479095630000018
28,40345,DED-5877,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,المعرفة انترنت كافية,KNOWLEDGE INTERNET CAFE',54.35425912,24.47799517,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,,,,,Eating and Drinking,30,Cafe,54.354259119999995,24.477995169999986
29,40346,DED-5878,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,الحظ 7 للانترنت,LUCKY 7 INTERNET,54.35656873,24.47985086,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,,,,,Eating and Drinking,30,Cafe,54.35656872999999,24.47985086
30,40347,DED-5879,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,جلورى كافيه,GLORY CAFE,54.35820389,24.47781944,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6338808,,,41453,Eating and Drinking,30,Cafe,54.35820389000003,24.47781944000002
31,40348,DED-5880,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى سميراميس,SAMIRAMIS CAFE,54.35551071,24.47796726,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,,,,35515,Eating and Drinking,30,Cafe,54.355510709999976,24.477967260000014
32,40350,DED-5882,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى ومرطبات ليالى السمر,NIGHTS OF SAMAR CAFE & REFRESHMENTS,54.35216207,24.47482724,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6666514,,,53530,Eating and Drinking,30,Cafe,54.35216207000002,24.474827240000025
33,40351,DED-5883,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى ومرطبات النوخذة,AL NOUKHADA CAFE & REFRESHMENTS,54.35388756,24.4756794,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6656622,,,3441,Eating and Drinking,30,Cafe,54.353887559999976,24.47567939999999
34,40352,DED-5884,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى ومرطبات زهرة مصر,EGYPTIAN FLOWER REFRESHMENTS & CAFE,54.35381889,24.476116179999998,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,,,,,Eating and Drinking,30,Cafe,54.353818890000014,24.47611618000002
35,40374,DED-4512,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,عالم البيتزا,PIZZA WORLD,55.7603569,24.22550964,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي الحميرة,Hai Al Humaira,7666565,,,17293,Eating and Drinking,30,Cafe,55.76035689999998,24.225509639999984
36,40382,DED-4818,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,@ كافيه ذ.م.م,@ CAFE L.L.C.,55.739246370000004,24.25640106,العين,Al Ain,الجيمي,AL JIMI,العامرية,Al Ameriya,7638222,cafe.c.s@gmail.com,7825025,24982,Eating and Drinking,30,Cafe,55.73924636999999,24.256401059999973
37,40387,DED-4825,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى وكافيتيريا شباب الجيمي,SHABAB AL JIMI CAFE AND CAFETERIA,55.72016907,24.2460804,العين,Al Ain,الجيمي,AL JIMI,عقدة العامرية,Ugdat Al Ameriya,7638881,,,13764,Eating and Drinking,30,Cafe,55.72016907,24.246080399999983
38,40391,DED-5886,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,فافالي إنترنت كافية,FAVALL I INTERNET CAFE,54.35930754,24.47870582,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,,,,,Eating and Drinking,30,Cafe,54.359307539999975,24.478705820000016
39,40392,DED-5887,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,موناكو كافيه,MONACO CAFE,54.35722733,24.48038539,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6342282,s1o1@hotmail.com,,127678,Eating and Drinking,30,Cafe,54.35722733,24.48038538999998
40,40393,DED-5888,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,كوفى شوب القطارة,AL QATARA COFFEE SHOP,54.35341835,24.47530174,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6660377,,6776181,60345,Eating and Drinking,30,Cafe,54.35341835000003,24.47530174000002
41,40395,DED-5890,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,نجوم الخليج كوفي شوب,GULF STARS COFFEE SHOP,54.35909909,24.47853686,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6311565,,,38221,Eating and Drinking,30,Cafe,54.35909908999997,24.47853686000002
42,40396,DED-5891,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,ميلينيوم كوفى شوب,MILLENNIUM COFFEE SHOP,54.3597126,24.47903442,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6313331,,6316663,111396,Eating and Drinking,30,Cafe,54.35971260000002,24.479034420000005
43,40397,DED-5892,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,جاردينيا انترنت كافيه,GARDENIA INTERNET CAFE,54.35508287,24.47664202,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6323255,HAMIDHUSSAIN2011@GMAIL.COM,,94047,Eating and Drinking,30,Cafe,54.35508286999999,24.476642019999986
44,40398,DED-5893,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى الهوى جنوبى,SOUTH AIR CAFE,54.35909909,24.47853686,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6342233,southc@abudhabi.net.ae,4480098,35078,Eating and Drinking,30,Cafe,54.35909908999997,24.47853686000002
45,40399,DED-5894,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى الجرف,AL JARF CAFE,54.35992432,24.47920227,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6347470,,,30430,Eating and Drinking,30,Cafe,54.359924320000005,24.479202269999973
46,40401,DED-5896,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,بينوي الذهبي للوجبات السريعة,PINOY GOLDEN FAST FOOD,54.35761833,24.47734642,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6211280,,6228569,113168,Eating and Drinking,30,Cafe,54.35761832999998,24.477346420000003
47,40402,DED-5897,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,كان كان كافيه,CAN CAN CAFE,54.35777473,24.4783535,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6340005,mehairi1@hotmail.com,,42556,Eating and Drinking,30,Cafe,54.35777473000002,24.478353500000026
48,40422,DED-4534,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,اكشن كافيه,ACTION  CAFE,55.76600266,24.22805023,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي المضيف,Hai Al Madheef,7220939,,7220929,17337,Eating and Drinking,30,Cafe,55.76600266000003,24.228050230000008
49,40425,DED-4543,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,كلاسيك كوفي شوب,CLASIC CAFE SHOP,55.76688194,24.22457314,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي السلامة,Hai Al Salama,7665990,,,86686,Eating and Drinking,30,Cafe,55.76688194000002,24.224573140000018
50,40426,DED-4544,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,ماندرين كوفي شوب,MANDAREEN COFFE SHOP,55.76739502,24.22493362,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي السلامة,Hai Al Salama,7667944,,7661494,96933,Eating and Drinking,30,Cafe,55.76739501999998,24.22493362
51,40428,DED-4546,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,نور الهدى للانترنت,NOOR AL HUDA ENTERNET,55.76759148,24.22480011,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي السلامة,Hai Al Salama,7513442,,7513447,87873,Eating and Drinking,30,Cafe,55.76759148000002,24.22480010999999
52,40432,DED-4842,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,اللوفر كافية,LE  LOUVRW  CAFE,55.721391679999996,24.23678398,العين,Al Ain,الجيمي,AL JIMI,المركز الإداري,Civic Center,,,,84347,Eating and Drinking,30,Cafe,55.72139168000001,24.236783979999984
53,40464,DED-4178,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى السكرية,AL SUKAREYAH CAFE,54.3703537,24.47130299,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 18_1,E18_01,6418736,sukareyah@abudhabi.net.ae,6716888,34723,Eating and Drinking,30,Cafe,54.37035370000001,24.471302990000027
54,40476,DED-4608,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى وكافتيريا الفلاح,AL FALAH CAFETERIA & COFFEE SHOP,55.77360153,24.22263718,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي المربعة,Hai Al Murabbaa,7669242,,7669171,16229,Eating and Drinking,30,Cafe,55.77360153000001,24.222637179999992
55,40490,DED-5899,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,كافيه لو فيدال,LE FIDDELE CAFE,54.3534448,24.47744566,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6349989,,,3163,Eating and Drinking,30,Cafe,54.35344479999998,24.47744566
56,40491,DED-5900,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,ستانلي كافيه ذ . م . م,STANLY  CAFE L . L .C,54.35368156,24.47551155,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6668644,,,105680,Eating and Drinking,30,Cafe,54.353681559999984,24.47551155000002
57,40492,DED-5901,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,كافيه الماسة,AL MASSA CAFE,54.3586235,24.47897911,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6916681,almassacafe@hotmail.com,,51615,Eating and Drinking,30,Cafe,54.35862350000002,24.47897911000001
58,40493,DED-5902,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى دار الظبى,DARUDHABI CAFE,54.35367957,24.47551012,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6217772,,6810429,71110,Eating and Drinking,30,Cafe,54.35367957,24.475510120000024
59,40494,DED-5903,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,بون جور بون سوار كافيه ذ م م,BONJOUR BONSOIR CAFELLC,54.35879326,24.47961235,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,,,,,Eating and Drinking,30,Cafe,54.35879326000003,24.479612350000025
60,40496,DED-5905,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,البوابه كافيه,THE GATE CAFE,54.35288239,24.47541046,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6667714,nepali_binoy@yahoo.com,8251282,31134,Eating and Drinking,30,Cafe,54.35288238999999,24.475410459999978
61,40497,DED-5906,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,ستايل كافية,STYLE CAFE,54.3586235,24.47897911,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 4,W4,6336545,,,93923,Eating and Drinking,30,Cafe,54.35862350000002,24.47897911000001
62,40506,DED-4184,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,دوت توش كافيه,DOT TOUCH CAFE,54.36885202,24.47761704,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 18_1,E18_01,,,,,Eating and Drinking,30,Cafe,54.36885202000002,24.477617039999984
63,40507,DED-4185,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,صالة الافق للانترنت - فرع,HORIZON INTERNET HALL - BRANCH,54.37410164,24.47330284,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 18_1,E18_01,,,,,Eating and Drinking,30,Cafe,54.37410163999999,24.473302839999974
64,40508,DED-4186,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى ومرطبات الانفوشى,LAL ANFOUSHY REFRESHMENTS & CAFE,54.36811323,24.47716493,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 18_1,E18_01,,,,6807,Eating and Drinking,30,Cafe,54.368113230000006,24.477164930000015
65,40514,DED-4611,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,نجم سهيل انترنت كافية - ذ م م,NAJIM SUHAIL INTERNET CAFE L L C,55.77392197,24.22195816,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي المربعة,Hai Al Murabbaa,5451752,,,0,Eating and Drinking,30,Cafe,55.77392197,24.221958159999986
66,40516,DED-4613,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,ستار بالاس كافيه,STAR PALACE CAFE,55.77402496,24.22326279,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,حي المربعة,Hai Al Murabbaa,,,,64347,Eating and Drinking,30,Cafe,55.77402496000002,24.22326278999998
67,40537,DED-4891,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,الشلال  كوفى شوب,AL SHALLAL COFFE SHOP,55.80194855,24.75800323,العين,Al Ain,الشويب,AL SHWAIB,رملة الشويب,Ramlat Al Shuwaib,,,,53577,Eating and Drinking,30,Cafe,55.80194855000002,24.758003229999986
68,40563,DED-4627,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,الزعيم العيناوي للانترنت كافيه,AL ZAEEM AL AINAWI INTERNET CAFE,55.77573776,24.21884251,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,الكويتات,Al Kuwaitat,7662995,shamsnkunnil@yahoo.com,7816422,19100,Eating and Drinking,30,Cafe,55.77573776000003,24.21884251
69,40565,DED-4629,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,شركة دارين العالمية - ذ م م - فرع(ستار بكس),DAREEN INTERNATIONAL COMPANY - LLC - BRANCH (STARBUCKS),55.7821331,24.22244453,العين,Al Ain,وسط المدينة,CENTRAL DISTRICT,الكويتات,Al Kuwaitat,7518270,sbsalain@shayauae.ae,7518230,1277,Eating and Drinking,30,Cafe,55.78213310000001,24.22244453000002
70,40575,DED-4897,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى وكافتيريا راس القمة,TOP HEAD  CAFETERIA  & COFFEE  SHOP,55.77872467,24.05852509,العين,Al Ain,جبل حفيت,JEBEL HAFEET,المبزرة الخضراء,Green Mubazzarah,7668488,,,14212,Eating and Drinking,30,Cafe,55.778724669999974,24.05852508999999
71,40576,DED-4898,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى وكافيتيريا لولوة العين,LULWAT AL AIN CAFE' AND CAFETRIA,55.75197601,24.10394096,العين,Al Ain,جبل حفيت,JEBEL HAFEET,المبزرة الخضراء,Green Mubazzarah,7211092,,,24335,Eating and Drinking,30,Cafe,55.75197601000002,24.10394095999999
72,40587,DED-3423,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,كافيه الكابتن - فرع,CAPTAIN CAFE - BRANCH,54.37293332,24.49093062,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 11,E11,6328877,,,36117,Eating and Drinking,30,Cafe,54.372933320000016,24.490930619999972
73,40620,DED-4668,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,الريف الفرنسي كافي شوب ومقهى ذ م م,FRENCH COUNTRY SIDE CAFE' AND COFFEE SHOP L L C,55.755207060000004,24.20497417,العين,Al Ain,المنطقة الصناعية,SANAIYA,شعبة السلم,Shiebat Al Salam,7211606,,,87087,Eating and Drinking,30,Cafe,55.755207059999975,24.204974170000014
74,40622,DED-4670,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,مقهى وكافيتيريا اريام العين,ARYAM AL AIN CAFE & CAFETERIA,55.75975418,24.20123291,العين,Al Ain,المنطقة الصناعية,SANAIYA,شعبة السلم,Shiebat Al Salam,,,7212118,64180,Eating and Drinking,30,Cafe,55.759754180000016,24.201232909999987
75,40630,DED-4915,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,كافتيريا ومقهى ليالي الوجن,LAYALI AL WAGHANCAFETEROA AND CAFE',55.56815338,23.63594246,العين,Al Ain,الوقن,AL WAGAN,ساق العوير,Saq Al Awir,,,,21918,Eating and Drinking,30,Cafe,55.56815338000001,23.635942460000024
76,40642,DED-3633,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,صالة تواصل للانترنت,TAWASEL INTERNET HALL,54.50886042,24.37742733,أبوظبي,Abu Dhabi,مصفح,Musaffah,مصفح  9,M9,,,,,Eating and Drinking,30,Cafe,54.50886042000002,24.37742732999999
77,40644,DED-3635,"Accommodation, Eating & Drinking",Eating & Drinking,Cafe,ريد روك كافيه ذ م م,RED ROCK CAFE L L C,54.50358724,24.37506934,أبوظبي,Abu Dhabi,مصفح,Musaffah,مصفح  9,M9,,,,,Eating and Drinking,30,Cafe,54.50358724,24.375069339999982
